loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-10367,BR-21118,HOME,2024-04-14,2031-04-14,300000,144000,14.07,84,DL,EDUCATION,E,1-3,HIGH,CURRENT,0,ServicerA,2025-03-22,2026-06-24,PENDING,MANUAL_UPLOAD
LN-10368,BR-20000,HOME,2019-02-13,2026-02-13,250000,112500,14.99,84,KL,VEHICLE,B,10+,VERY_HIGH,CURRENT,0,ServicerA,2025-07-20,2026-04-21,PENDING,SERVICING_SYSTEM
LN-10369,BR-22607,HOME,2023-04-14,2024-04-14,750000,405000,16.22,12,PB,HOME_IMPROVEMENT,E,7-10,LOW,60+ DPD,60,ServicerB,2025-09-20,2026-02-10,AVAILABLE,MANUAL_UPLOAD
LN-10370,BR-21618,EDUCATION,2018-02-16,2028-02-16,75000,70500,14.44,120,TS,WORKING_CAPITAL,B,7-10,LOW,CURRENT,0,ServicerA,2026-01-13,2026-05-22,PENDING,ORIGINATION_SYSTEM
LN-10371,BR-22335,PERSONAL,2018-08-21,2038-08-21,750000,157500,13.71,240,MP,HOME_IMPROVEMENT,D,<1,VERY_HIGH,CURRENT,0,ServicerA,2025-05-13,2026-07-06,PENDING,ORIGINATION_SYSTEM
LN-10372,BR-23419,EDUCATION,2018-04-22,2021-04-22,75000,70500,11.91,36,KL,HOME_IMPROVEMENT,C,1-3,MEDIUM,CURRENT,0,ServicerB,2026-01-26,2026-03-22,PENDING,SERVICING_SYSTEM
LN-10373,BR-21230,HOME,2018-04-13,2028-04-13,500000,75000,9.92,120,RJ,HOME_IMPROVEMENT,B,1-3,VERY_HIGH,30+ DPD,15,ServicerA,2026-04-26,2026-03-18,PENDING,SERVICING_SYSTEM
LN-10374,BR-21637,HOME,2022-06-09,2027-06-09,50000,26500,17.77,60,PB,EDUCATION,C,10+,VERY_HIGH,CURRENT,0,ServicerB,2025-11-27,2026-04-12,AVAILABLE,MANUAL_UPLOAD
LN-10375,BR-21517,PERSONAL,2025-02-16,2026-02-16,200000,152000,12.16,12,BR,DEBT_CONSOLIDATION,A,<1,HIGH,CURRENT,0,ServicerC,2025-03-01,2026-06-07,AVAILABLE,SERVICING_SYSTEM
LN-10376,BR-21083,HOME,2022-10-24,2052-10-24,75000,12750,5.21,360,MH,WORKING_CAPITAL,D,7-10,HIGH,30+ DPD,15,ServicerC,2025-04-25,2026-06-27,PENDING,SERVICING_SYSTEM
LN-10377,BR-22357,HOME,2024-03-19,2034-03-19,500000,260000,16.14,120,BR,VEHICLE,B,<1,MEDIUM,CURRENT,0,ServicerB,2025-05-15,2026-02-14,MISSING,SERVICING_SYSTEM
LN-10378,BR-22064,BUSINESS,2022-01-07,2026-01-07,50000,5500,14.25,48,TN,DEBT_CONSOLIDATION,B,1-3,VERY_HIGH,CURRENT,0,ServicerA,2025-07-23,2026-08-05,PENDING,MANUAL_UPLOAD
LN-10379,BR-22948,BUSINESS,2023-12-10,2024-12-10,50000,30500,17.61,12,WB,DEBT_CONSOLIDATION,E,1-3,HIGH,CURRENT,0,ServicerC,2026-06-20,2026-04-18,MISSING,MANUAL_UPLOAD
LN-10380,BR-20524,AUTO,2020-06-01,2030-06-01,750000,232500,11.72,120,WB,DEBT_CONSOLIDATION,B,<1,LOW,CURRENT,0,ServicerB,2025-03-01,2026-02-03,PENDING,MANUAL_UPLOAD
LN-10381,BR-23218,HOME,2022-01-11,2037-01-11,1000000,220000,10.62,180,TS,EDUCATION,D,7-10,LOW,CURRENT,0,ServicerC,2026-04-20,2026-03-05,AVAILABLE,ORIGINATION_SYSTEM
LN-10382,BR-20875,HOME,2020-03-09,2026-03-09,100000,37000,5.89,72,GJ,VEHICLE,B,<1,MEDIUM,90+ DPD,120,ServicerB,2026-08-10,2026-03-25,MISSING,SERVICING_SYSTEM
LN-10383,BR-20726,BUSINESS,2019-10-08,2029-10-08,1000000,870000,6.53,120,MP,VEHICLE,B,<1,HIGH,CURRENT,0,ServicerC,2026-08-16,2026-04-21,MISSING,SERVICING_SYSTEM
LN-10384,BR-23999,HOME,2018-08-06,2048-08-06,100000,63000,7.57,360,HR,VEHICLE,A,4-6,HIGH,30+ DPD,30,ServicerB,2026-03-16,2026-03-31,PENDING,SERVICING_SYSTEM
LN-10385,BR-22500,HOME,2021-10-04,2051-10-04,100000,33000,12.08,360,BR,VEHICLE,A,7-10,VERY_HIGH,CURRENT,0,ServicerA,2025-07-24,2026-07-17,MISSING,SERVICING_SYSTEM
LN-10386,BR-20713,BUSINESS,2024-11-11,2028-11-11,750000,435000,14.6,48,AP,VEHICLE,E,1-3,HIGH,30+ DPD,30,ServicerC,2026-01-31,2026-07-24,AVAILABLE,MANUAL_UPLOAD
LN-10387,BR-22675,HOME,2021-02-13,2025-02-13,750000,502500,14.13,48,HR,DEBT_CONSOLIDATION,D,10+,MEDIUM,90+ DPD,90,ServicerA,2026-02-11,2026-03-03,AVAILABLE,ORIGINATION_SYSTEM
LN-10388,BR-20738,BUSINESS,2021-11-09,2022-11-09,200000,144000,17.78,12,WB,WORKING_CAPITAL,A,7-10,HIGH,60+ DPD,45,ServicerC,2025-12-12,2026-08-15,MISSING,ORIGINATION_SYSTEM
LN-10389,BR-20100,HOME,2023-05-08,2025-05-08,50000,11000,12.17,24,TN,DEBT_CONSOLIDATION,C,10+,MEDIUM,30+ DPD,15,ServicerC,2025-07-09,2026-02-26,PENDING,ORIGINATION_SYSTEM
LN-10390,BR-22873,AUTO,2018-09-25,2023-09-25,100000,37000,6.62,60,WB,HOME_IMPROVEMENT,D,4-6,HIGH,90+ DPD,120,ServicerA,2025-06-17,2026-05-27,AVAILABLE,ORIGINATION_SYSTEM
LN-10391,BR-21549,AUTO,2020-08-31,2040-08-31,100000,77000,7.25,240,MP,DEBT_CONSOLIDATION,C,<1,VERY_HIGH,60+ DPD,45,ServicerB,2026-08-10,2026-02-24,AVAILABLE,ORIGINATION_SYSTEM
LN-10392,BR-20623,PERSONAL,2019-11-04,2020-11-04,100000,92000,13.99,12,TS,HOME_IMPROVEMENT,A,10+,VERY_HIGH,90+ DPD,120,ServicerB,2026-01-13,2026-03-17,MISSING,ORIGINATION_SYSTEM
LN-10393,BR-22234,HOME,2025-03-18,2028-03-18,300000,252000,7.3,36,MH,WORKING_CAPITAL,E,<1,HIGH,90+ DPD,120,ServicerA,2025-01-03,2026-03-30,MISSING,ORIGINATION_SYSTEM
LN-10394,BR-20344,PERSONAL,2023-06-13,2029-06-13,500000,100000,13.73,72,HR,EDUCATION,D,7-10,VERY_HIGH,90+ DPD,120,ServicerB,2025-02-05,2026-05-18,AVAILABLE,SERVICING_SYSTEM
LN-10395,BR-22294,PERSONAL,2019-01-04,2026-01-04,1000000,520000,10.56,84,KA,WORKING_CAPITAL,D,4-6,MEDIUM,30+ DPD,15,ServicerB,2025-11-08,2026-02-24,MISSING,ORIGINATION_SYSTEM
LN-10396,BR-21729,EDUCATION,2020-07-11,2023-07-11,750000,525000,7.14,36,GJ,DEBT_CONSOLIDATION,D,1-3,LOW,30+ DPD,30,ServicerC,2025-01-02,2026-03-17,AVAILABLE,SERVICING_SYSTEM
LN-10397,BR-21506,PERSONAL,2021-05-10,2027-05-10,75000,35250,17.51,72,PB,EDUCATION,C,7-10,VERY_HIGH,90+ DPD,90,ServicerC,2025-12-29,2026-04-29,MISSING,SERVICING_SYSTEM
LN-10398,BR-22482,BUSINESS,2018-05-12,2022-05-12,100000,15000,17.41,48,KL,WORKING_CAPITAL,A,7-10,VERY_HIGH,60+ DPD,60,ServicerA,2025-11-17,2026-04-06,MISSING,SERVICING_SYSTEM
LN-10399,BR-22766,EDUCATION,2020-11-17,2027-11-17,200000,150000,7.45,84,AP,WORKING_CAPITAL,A,<1,MEDIUM,60+ DPD,60,ServicerA,2026-05-07,2026-04-13,PENDING,MANUAL_UPLOAD
LN-10400,BR-20014,HOME,2023-02-15,2038-02-15,300000,350000,14.42,180,GJ,HOME_IMPROVEMENT,A,7-10,LOW,90+ DPD,90,ServicerA,2025-04-10,2026-05-11,MISSING,MANUAL_UPLOAD
LN-10401,BR-23325,EDUCATION,2019-10-15,2029-10-15,50000,100000,11.95,120,PB,HOME_IMPROVEMENT,A,7-10,MEDIUM,30+ DPD,15,ServicerC,2025-11-19,2026-05-05,MISSING,MANUAL_UPLOAD
LN-10402,BR-23950,PERSONAL,2021-09-01,2027-09-01,75000,125000,13.36,72,RJ,HOME_IMPROVEMENT,A,<1,HIGH,90+ DPD,90,ServicerC,2026-05-21,2026-08-01,MISSING,ORIGINATION_SYSTEM
LN-10403,BR-21571,PERSONAL,2019-06-20,2023-06-20,200000,250000,11.42,48,MH,WORKING_CAPITAL,C,7-10,LOW,CURRENT,0,ServicerA,2025-04-28,2026-06-02,AVAILABLE,ORIGINATION_SYSTEM
LN-10404,BR-22593,BUSINESS,2018-04-29,2033-04-29,750000,800000,9.04,180,TS,DEBT_CONSOLIDATION,C,<1,HIGH,CURRENT,0,ServicerA,2025-10-31,2026-06-08,AVAILABLE,SERVICING_SYSTEM
LN-10405,BR-23249,PERSONAL,2023-07-22,2033-07-22,150000,200000,6.14,120,DL,WORKING_CAPITAL,E,1-3,LOW,90+ DPD,90,ServicerB,2025-04-12,2026-06-03,AVAILABLE,SERVICING_SYSTEM
LN-10406,BR-23073,EDUCATION,2022-08-05,2027-08-05,500000,550000,11.01,60,MH,EDUCATION,C,10+,VERY_HIGH,CURRENT,0,ServicerA,2026-06-02,2026-03-02,PENDING,SERVICING_SYSTEM
LN-10407,BR-22050,PERSONAL,2023-10-22,2029-10-22,150000,200000,7,72,GJ,DEBT_CONSOLIDATION,A,1-3,VERY_HIGH,CURRENT,0,ServicerC,2026-01-11,2026-03-19,AVAILABLE,MANUAL_UPLOAD
LN-10408,BR-22723,HOME,2020-06-23,2024-06-23,100000,19000,7.59,48,TN,VEHICLE,D,4-6,HIGH,60+ DPD,60,ServicerC,2026-06-06,2026-02-28,AVAILABLE,ORIGINATION_SYSTEM
LN-10409,BR-20142,HOME,2018-04-22,2021-04-22,75000,70500,8.13,36,GJ,DEBT_CONSOLIDATION,A,7-10,MEDIUM,CURRENT,0,ServicerB,2026-07-04,2026-05-03,MISSING,SERVICING_SYSTEM
LN-10410,BR-22608,PERSONAL,2025-06-02,2040-06-02,250000,140000,13.55,180,HR,HOME_IMPROVEMENT,D,4-6,LOW,60+ DPD,45,ServicerA,2025-02-02,2026-08-01,AVAILABLE,SERVICING_SYSTEM
LN-10411,BR-21829,AUTO,2020-06-10,2023-06-10,300000,90000,6.17,36,WB,EDUCATION,B,<1,MEDIUM,30+ DPD,15,ServicerB,2026-04-23,2026-04-23,MISSING,SERVICING_SYSTEM
LN-10412,BR-23842,BUSINESS,2025-03-12,2028-03-12,200000,114000,10.31,36,BR,VEHICLE,E,4-6,LOW,90+ DPD,90,ServicerA,2025-01-24,2026-04-06,AVAILABLE,ORIGINATION_SYSTEM
LN-10413,BR-21224,BUSINESS,2023-05-26,2043-05-26,200000,66000,6.23,240,PB,HOME_IMPROVEMENT,B,7-10,HIGH,60+ DPD,45,ServicerC,2026-05-05,2026-05-10,AVAILABLE,ORIGINATION_SYSTEM
LN-10414,BR-22425,HOME,2019-11-04,2039-11-04,300000,78000,7.97,240,HR,DEBT_CONSOLIDATION,D,<1,LOW,CURRENT,0,ServicerC,2025-05-09,2026-04-09,MISSING,SERVICING_SYSTEM
LN-10415,BR-22251,HOME,2019-11-06,2022-11-06,750000,585000,11.82,36,UP,WORKING_CAPITAL,A,1-3,LOW,CURRENT,0,ServicerC,2026-05-17,2026-07-01,MISSING,ORIGINATION_SYSTEM
LN-10416,BR-20715,EDUCATION,2021-03-24,2024-03-24,1000000,90000,7.52,36,MH,WORKING_CAPITAL,B,10+,LOW,CURRENT,0,ServicerB,2025-02-28,2026-05-15,PENDING,ORIGINATION_SYSTEM
LN-10417,BR-20329,AUTO,2019-03-08,2039-03-08,250000,67500,11.09,240,KA,DEBT_CONSOLIDATION,B,4-6,VERY_HIGH,30+ DPD,30,ServicerA,2025-06-08,2026-02-24,PENDING,ORIGINATION_SYSTEM
LN-10418,BR-20114,HOME,2019-07-21,2026-07-21,75000,54000,11.89,84,WB,VEHICLE,B,7-10,VERY_HIGH,CURRENT,0,ServicerA,2025-06-09,2026-07-28,MISSING,ORIGINATION_SYSTEM
LN-10419,BR-20934,PERSONAL,2018-07-14,2048-07-14,1000000,800000,11.84,360,TS,WORKING_CAPITAL,B,4-6,VERY_HIGH,90+ DPD,90,ServicerA,2026-03-03,2026-02-23,MISSING,ORIGINATION_SYSTEM
LN-10420,BR-20538,PERSONAL,2023-01-06,2029-01-06,50000,41500,9.97,72,AP,EDUCATION,B,4-6,HIGH,30+ DPD,15,ServicerB,2025-07-12,2026-05-06,MISSING,MANUAL_UPLOAD
LN-10421,BR-23593,AUTO,2023-12-28,2024-12-28,250000,195000,12.88,12,KL,DEBT_CONSOLIDATION,A,<1,VERY_HIGH,60+ DPD,45,ServicerC,2025-09-07,2026-04-08,MISSING,MANUAL_UPLOAD
LN-10422,BR-23831,AUTO,2025-04-22,2035-04-22,1000000,470000,12.07,120,KL,WORKING_CAPITAL,E,4-6,LOW,90+ DPD,120,ServicerC,2025-10-09,2026-02-28,MISSING,ORIGINATION_SYSTEM
LN-10423,BR-20951,PERSONAL,2021-12-23,2028-12-23,300000,138000,16.75,84,RJ,HOME_IMPROVEMENT,C,<1,VERY_HIGH,90+ DPD,120,ServicerC,2025-09-19,2026-05-11,AVAILABLE,ORIGINATION_SYSTEM
LN-10424,BR-23026,AUTO,2018-11-03,2033-11-03,100000,6000,15.81,180,MP,HOME_IMPROVEMENT,B,4-6,VERY_HIGH,CURRENT,0,ServicerA,2025-01-03,2026-07-09,MISSING,SERVICING_SYSTEM
LN-10425,BR-21240,BUSINESS,2018-02-25,2025-02-25,300000,21000,6.32,84,HR,VEHICLE,B,10+,VERY_HIGH,CURRENT,0,ServicerB,2025-11-09,2026-06-09,MISSING,MANUAL_UPLOAD
LN-10426,BR-22394,PERSONAL,2022-04-06,2024-04-06,300000,150000,6.24,24,TS,VEHICLE,D,<1,HIGH,90+ DPD,90,ServicerC,2026-08-16,2026-07-19,MISSING,ORIGINATION_SYSTEM
LN-10427,BR-21657,PERSONAL,2022-06-12,2024-06-12,750000,165000,16.78,24,GJ,VEHICLE,E,7-10,HIGH,CURRENT,0,ServicerB,2025-04-22,2026-04-30,PENDING,SERVICING_SYSTEM
LN-10428,BR-20304,PERSONAL,2022-03-20,2029-03-20,100000,10000,7,84,TS,DEBT_CONSOLIDATION,A,7-10,HIGH,60+ DPD,45,ServicerC,2026-04-17,2026-03-15,AVAILABLE,ORIGINATION_SYSTEM
LN-10429,BR-20317,AUTO,2021-05-20,2051-05-20,100000,12000,16.02,360,TS,DEBT_CONSOLIDATION,E,1-3,VERY_HIGH,CURRENT,0,ServicerC,2025-06-02,2026-06-02,AVAILABLE,ORIGINATION_SYSTEM
LN-10430,BR-21389,PERSONAL,2024-02-20,2031-02-20,300000,111000,14.22,84,WB,WORKING_CAPITAL,B,<1,MEDIUM,CURRENT,0,ServicerA,2025-02-06,2026-02-12,AVAILABLE,ORIGINATION_SYSTEM
LN-10431,BR-20668,HOME,2021-07-21,2051-07-21,250000,237500,7.03,360,HR,WORKING_CAPITAL,B,1-3,LOW,CURRENT,0,ServicerB,2026-03-05,2026-05-30,MISSING,MANUAL_UPLOAD
LN-10432,BR-22594,PERSONAL,2024-07-04,2029-07-04,250000,152500,15.15,60,DL,DEBT_CONSOLIDATION,C,1-3,MEDIUM,CURRENT,0,ServicerA,2025-05-14,2026-04-03,PENDING,ORIGINATION_SYSTEM
LN-10433,BR-23150,PERSONAL,2020-10-01,2027-10-01,75000,41250,7.8,84,BR,DEBT_CONSOLIDATION,C,<1,HIGH,CURRENT,0,ServicerC,2025-07-08,2026-08-09,PENDING,ORIGINATION_SYSTEM
LN-10434,BR-22538,BUSINESS,2025-04-11,2032-04-11,750000,165000,5.87,84,RJ,DEBT_CONSOLIDATION,A,<1,LOW,60+ DPD,60,ServicerC,2025-02-19,2026-03-04,MISSING,ORIGINATION_SYSTEM
LN-10435,BR-23007,HOME,2018-02-24,2048-02-24,200000,28000,16.88,360,KA,DEBT_CONSOLIDATION,E,10+,MEDIUM,60+ DPD,60,ServicerB,2025-02-11,2026-03-24,PENDING,ORIGINATION_SYSTEM
LN-10436,BR-21621,PERSONAL,2022-07-29,2024-07-29,200000,12000,17.34,24,TS,EDUCATION,E,<1,HIGH,30+ DPD,15,ServicerA,2025-05-18,2026-03-22,PENDING,MANUAL_UPLOAD
LN-10437,BR-22926,BUSINESS,2022-03-29,2027-03-29,50000,11000,16.89,60,TN,WORKING_CAPITAL,E,4-6,VERY_HIGH,CURRENT,0,ServicerA,2025-04-23,2026-03-15,MISSING,MANUAL_UPLOAD
LN-10438,BR-20352,AUTO,2020-03-20,2022-03-20,300000,249000,6.67,24,DL,HOME_IMPROVEMENT,C,4-6,VERY_HIGH,60+ DPD,60,ServicerB,2025-01-20,2026-02-10,AVAILABLE,SERVICING_SYSTEM
LN-10439,BR-22127,EDUCATION,2024-06-24,2044-06-24,250000,172500,17.21,240,HR,WORKING_CAPITAL,E,7-10,MEDIUM,90+ DPD,120,ServicerA,2025-09-06,2026-06-18,AVAILABLE,MANUAL_UPLOAD
LN-10440,BR-22219,HOME,2021-08-16,2024-08-16,150000,75000,5.67,36,TS,HOME_IMPROVEMENT,D,7-10,VERY_HIGH,CURRENT,0,ServicerC,2025-01-17,2026-04-29,MISSING,MANUAL_UPLOAD
LN-10441,BR-22836,AUTO,2023-12-16,2026-12-16,50000,13000,15.69,36,RJ,WORKING_CAPITAL,C,10+,VERY_HIGH,30+ DPD,15,ServicerC,2025-09-18,2026-03-03,MISSING,ORIGINATION_SYSTEM
LN-10442,BR-20860,AUTO,2022-11-06,2042-11-06,500000,445000,12.22,240,DL,EDUCATION,C,7-10,VERY_HIGH,CURRENT,0,ServicerB,2025-07-04,2026-07-16,AVAILABLE,MANUAL_UPLOAD
LN-10443,BR-22293,AUTO,2022-03-12,2027-03-12,250000,37500,14.58,60,DL,DEBT_CONSOLIDATION,A,<1,LOW,90+ DPD,120,ServicerC,2025-02-06,2026-07-22,AVAILABLE,SERVICING_SYSTEM
LN-10444,BR-21295,AUTO,2024-08-24,2054-08-24,150000,67500,7.35,360,AP,DEBT_CONSOLIDATION,A,1-3,HIGH,90+ DPD,90,ServicerA,2026-04-21,2026-02-19,MISSING,ORIGINATION_SYSTEM
LN-10445,BR-21423,HOME,2021-10-24,2022-10-24,300000,123000,13.52,12,AP,EDUCATION,E,1-3,MEDIUM,CURRENT,0,ServicerC,2026-08-05,2026-07-26,MISSING,MANUAL_UPLOAD
LN-10446,BR-21993,HOME,2022-08-04,2042-08-04,1000000,940000,7.38,240,DL,WORKING_CAPITAL,D,<1,HIGH,90+ DPD,90,ServicerB,2025-05-01,2026-07-26,MISSING,ORIGINATION_SYSTEM
LN-10447,BR-20129,HOME,2019-08-01,2021-08-01,100000,94000,15.04,24,BR,DEBT_CONSOLIDATION,D,7-10,VERY_HIGH,CURRENT,0,ServicerA,2026-02-03,2026-05-04,MISSING,ORIGINATION_SYSTEM
LN-10448,BR-22702,AUTO,2022-05-14,2023-05-14,1000000,630000,6.18,12,BR,DEBT_CONSOLIDATION,D,10+,VERY_HIGH,CURRENT,0,ServicerB,2025-10-15,2026-02-03,MISSING,ORIGINATION_SYSTEM
LN-10449,BR-22756,PERSONAL,2024-04-26,2029-04-26,1000000,830000,9.03,60,KA,VEHICLE,C,<1,MEDIUM,60+ DPD,60,ServicerC,2026-07-12,2026-03-31,PENDING,MANUAL_UPLOAD
LN-10450,BR-20177,AUTO,2024-11-22,2026-11-22,300000,102000,8.78,24,KA,VEHICLE,E,4-6,VERY_HIGH,60+ DPD,60,ServicerC,2025-12-13,2026-03-04,PENDING,ORIGINATION_SYSTEM
LN-10451,BR-21658,HOME,2018-09-04,2033-09-04,100000,14000,11.75,180,TN,EDUCATION,B,10+,VERY_HIGH,CURRENT,0,ServicerA,2025-11-22,2026-05-03,PENDING,MANUAL_UPLOAD
LN-10452,BR-21468,BUSINESS,2023-11-14,2026-11-14,500000,400000,7.61,36,PB,WORKING_CAPITAL,B,1-3,MEDIUM,90+ DPD,90,ServicerA,2025-01-16,2026-02-04,MISSING,MANUAL_UPLOAD
LN-10453,BR-23503,HOME,2022-02-15,2023-02-15,750000,127500,5.25,12,TN,DEBT_CONSOLIDATION,A,7-10,MEDIUM,30+ DPD,15,ServicerB,2025-08-10,2026-02-07,PENDING,MANUAL_UPLOAD
LN-10454,BR-22522,BUSINESS,2018-05-19,2022-05-19,150000,46500,13.46,48,GJ,EDUCATION,C,1-3,HIGH,CURRENT,0,ServicerC,2025-07-02,2026-06-12,PENDING,SERVICING_SYSTEM
LN-10455,BR-20017,AUTO,2024-06-17,2031-06-17,100000,77000,12.28,84,WB,HOME_IMPROVEMENT,A,7-10,VERY_HIGH,90+ DPD,120,ServicerC,2026-03-22,2026-06-29,MISSING,SERVICING_SYSTEM
LN-10456,BR-23006,PERSONAL,2020-11-22,2023-11-22,200000,94000,5.47,36,KL,WORKING_CAPITAL,A,<1,VERY_HIGH,30+ DPD,15,ServicerA,2026-04-23,2026-02-01,MISSING,MANUAL_UPLOAD
LN-10457,BR-22000,PERSONAL,2021-05-08,2025-05-08,200000,120000,10.11,48,BR,VEHICLE,A,7-10,HIGH,30+ DPD,15,ServicerB,2026-01-11,2026-05-05,AVAILABLE,MANUAL_UPLOAD
LN-10458,BR-20426,PERSONAL,2021-11-14,2041-11-14,300000,183000,15.65,240,TS,EDUCATION,E,10+,MEDIUM,CURRENT,0,ServicerC,2025-04-25,2026-05-03,MISSING,SERVICING_SYSTEM
LN-10459,BR-22040,AUTO,2023-02-18,2053-02-18,75000,9750,15.92,360,UP,HOME_IMPROVEMENT,A,10+,VERY_HIGH,60+ DPD,45,ServicerA,2026-05-28,2026-08-16,AVAILABLE,SERVICING_SYSTEM
LN-10460,BR-22899,PERSONAL,2020-03-11,2035-03-11,750000,637500,13.66,180,DL,WORKING_CAPITAL,E,7-10,LOW,CURRENT,0,ServicerB,2025-03-31,2026-08-07,AVAILABLE,SERVICING_SYSTEM
LN-10461,BR-23468,HOME,2022-03-07,2052-03-07,250000,195000,16.14,360,RJ,EDUCATION,A,7-10,LOW,90+ DPD,120,ServicerB,2026-01-11,2026-02-19,AVAILABLE,ORIGINATION_SYSTEM
LN-10462,BR-22337,HOME,2023-04-02,2030-04-02,1000000,860000,13.41,84,KA,VEHICLE,D,4-6,VERY_HIGH,CURRENT,0,ServicerB,2025-06-03,2026-03-13,PENDING,ORIGINATION_SYSTEM
LN-10463,BR-23102,AUTO,2019-03-27,2022-03-27,750000,487500,5.57,36,MH,DEBT_CONSOLIDATION,E,1-3,VERY_HIGH,CURRENT,0,ServicerA,2025-02-05,2026-04-03,PENDING,MANUAL_UPLOAD
LN-10464,BR-20580,HOME,2021-07-04,2028-07-04,150000,22500,12,84,WB,VEHICLE,D,7-10,VERY_HIGH,CURRENT,0,ServicerC,2025-05-21,2026-04-30,MISSING,MANUAL_UPLOAD
LN-10465,BR-21254,EDUCATION,2023-06-27,2028-06-27,50000,2500,6.91,60,MH,DEBT_CONSOLIDATION,A,1-3,HIGH,30+ DPD,30,ServicerB,2026-05-02,2026-05-25,MISSING,MANUAL_UPLOAD
LN-10466,BR-22513,PERSONAL,2018-12-20,2023-12-20,100000,38000,10.57,60,MH,HOME_IMPROVEMENT,D,<1,VERY_HIGH,30+ DPD,15,ServicerA,2025-06-28,2026-02-04,MISSING,MANUAL_UPLOAD
LN-10467,BR-21995,PERSONAL,2025-02-11,2029-02-11,300000,273000,5.46,48,AP,VEHICLE,B,1-3,LOW,CURRENT,0,ServicerC,2025-12-19,2026-08-11,AVAILABLE,SERVICING_SYSTEM
LN-10468,BR-23128,AUTO,2025-01-19,2035-01-19,500000,395000,11.09,120,RJ,VEHICLE,C,<1,MEDIUM,30+ DPD,30,ServicerC,2025-10-20,2026-04-10,MISSING,SERVICING_SYSTEM
LN-10469,BR-20111,AUTO,2018-01-18,2023-01-18,1000000,730000,7.12,60,PB,WORKING_CAPITAL,D,1-3,LOW,CURRENT,0,ServicerA,2025-12-31,2026-07-23,PENDING,ORIGINATION_SYSTEM
LN-10470,BR-23270,PERSONAL,2019-02-17,2020-02-17,750000,675000,6.68,12,KL,HOME_IMPROVEMENT,C,1-3,MEDIUM,60+ DPD,60,ServicerB,2025-02-24,2026-02-14,AVAILABLE,SERVICING_SYSTEM
LN-10471,BR-20838,HOME,2022-04-22,2028-04-22,300000,192000,16.81,72,KL,EDUCATION,C,7-10,MEDIUM,60+ DPD,60,ServicerB,2026-05-27,2026-07-19,PENDING,ORIGINATION_SYSTEM
LN-10472,BR-20095,BUSINESS,2022-01-04,2052-01-04,75000,21750,13.58,360,WB,VEHICLE,C,10+,MEDIUM,CURRENT,0,ServicerA,2025-07-17,2026-05-04,AVAILABLE,MANUAL_UPLOAD
LN-10473,BR-21700,EDUCATION,2018-01-02,2021-01-02,75000,63750,6.57,36,HR,WORKING_CAPITAL,B,1-3,LOW,30+ DPD,15,ServicerC,2025-11-16,2026-07-22,AVAILABLE,SERVICING_SYSTEM
LN-10474,BR-22231,EDUCATION,2021-10-21,2031-10-21,250000,127500,10.76,120,UP,EDUCATION,E,7-10,HIGH,CURRENT,0,ServicerC,2025-01-04,2026-06-13,MISSING,SERVICING_SYSTEM
LN-10475,BR-21169,HOME,2023-10-23,2026-10-23,300000,264000,12.9,36,TS,DEBT_CONSOLIDATION,D,4-6,LOW,60+ DPD,60,ServicerA,2025-04-24,2026-08-16,PENDING,ORIGINATION_SYSTEM
LN-10476,BR-22612,BUSINESS,2018-09-29,2022-09-29,100000,47000,8.94,48,PB,HOME_IMPROVEMENT,B,<1,LOW,60+ DPD,60,ServicerA,2025-09-09,2026-04-22,PENDING,MANUAL_UPLOAD
LN-10477,BR-21425,AUTO,2019-06-10,2029-06-10,300000,96000,5.67,120,HR,EDUCATION,D,4-6,VERY_HIGH,CURRENT,0,ServicerC,2025-02-19,2026-06-02,PENDING,SERVICING_SYSTEM
LN-10478,BR-20003,BUSINESS,2023-04-29,2025-04-29,500000,455000,12.13,24,MP,WORKING_CAPITAL,B,7-10,MEDIUM,60+ DPD,45,ServicerA,2026-07-17,2026-04-03,PENDING,MANUAL_UPLOAD
LN-10479,BR-22389,BUSINESS,2018-11-07,2033-11-07,150000,24000,10.46,180,MH,EDUCATION,E,1-3,LOW,90+ DPD,120,ServicerC,2025-01-21,2026-04-14,AVAILABLE,MANUAL_UPLOAD
LN-10480,BR-20754,BUSINESS,2019-07-10,2020-07-10,500000,125000,12.93,12,MH,EDUCATION,D,4-6,HIGH,60+ DPD,60,ServicerB,2025-11-19,2026-05-26,MISSING,MANUAL_UPLOAD
LN-10481,BR-20987,BUSINESS,2024-11-23,2027-11-23,100000,52000,8.8,36,TS,VEHICLE,A,1-3,HIGH,90+ DPD,90,ServicerB,2025-08-20,2026-07-22,MISSING,ORIGINATION_SYSTEM
LN-10482,BR-23738,EDUCATION,2021-11-22,2031-11-22,300000,90000,17.73,120,RJ,HOME_IMPROVEMENT,E,7-10,HIGH,CURRENT,0,ServicerA,2025-02-05,2026-05-06,MISSING,ORIGINATION_SYSTEM
LN-10483,BR-20910,HOME,2022-08-19,2023-08-19,500000,355000,11.85,12,PB,VEHICLE,A,1-3,LOW,90+ DPD,120,ServicerA,2026-06-18,2026-03-31,MISSING,ORIGINATION_SYSTEM
