loan_id,application_document,income_document,identity_document,document_status
LN-11109,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11110,MISSING,AVAILABLE,MISSING,PENDING
LN-11111,MISSING,MISSING,MISSING,AVAILABLE
LN-11112,AVAILABLE,MISSING,MISSING,PENDING
LN-11113,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11114,MISSING,MISSING,MISSING,AVAILABLE
LN-11115,MISSING,MISSING,MISSING,PENDING
LN-11116,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11117,MISSING,MISSING,MISSING,AVAILABLE
LN-11118,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11119,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11120,AVAILABLE,MISSING,MISSING,MISSING
LN-11121,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11122,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11123,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11124,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11125,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11126,MISSING,MISSING,MISSING,PENDING
LN-11127,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11128,AVAILABLE,MISSING,MISSING,PENDING
LN-11129,MISSING,MISSING,AVAILABLE,MISSING
LN-11130,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11131,AVAILABLE,MISSING,MISSING,PENDING
LN-11132,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11133,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11134,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11135,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11136,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11137,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11138,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11139,MISSING,AVAILABLE,MISSING,MISSING
LN-11140,MISSING,MISSING,AVAILABLE,MISSING
LN-11141,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11142,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11143,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11144,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11145,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11146,MISSING,MISSING,MISSING,PENDING
LN-11147,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11148,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11149,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11150,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11151,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11152,MISSING,MISSING,AVAILABLE,MISSING
LN-11153,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11154,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11155,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11156,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11157,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11158,MISSING,MISSING,AVAILABLE,MISSING
LN-11159,MISSING,MISSING,MISSING,AVAILABLE
LN-11160,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11161,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11162,MISSING,AVAILABLE,MISSING,PENDING
LN-11163,MISSING,AVAILABLE,MISSING,PENDING
LN-11164,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11165,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11166,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11167,MISSING,AVAILABLE,MISSING,MISSING
LN-11168,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11169,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11170,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11171,MISSING,AVAILABLE,MISSING,PENDING
LN-11172,MISSING,MISSING,AVAILABLE,MISSING
LN-11173,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11174,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11175,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11176,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11177,MISSING,MISSING,AVAILABLE,MISSING
LN-11178,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11179,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11180,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11181,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11182,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11183,MISSING,MISSING,MISSING,MISSING
LN-11184,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11185,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11186,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11187,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11188,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11189,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11190,MISSING,MISSING,MISSING,AVAILABLE
LN-11191,AVAILABLE,MISSING,MISSING,PENDING
LN-11192,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11193,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11194,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11195,MISSING,MISSING,MISSING,PENDING
LN-11196,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11197,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11198,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11199,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11200,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11201,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11202,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11203,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11204,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11205,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11206,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11207,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11208,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11209,AVAILABLE,MISSING,MISSING,MISSING
LN-11210,MISSING,MISSING,AVAILABLE,MISSING
LN-11211,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11212,MISSING,MISSING,AVAILABLE,MISSING
LN-11213,AVAILABLE,MISSING,MISSING,MISSING
LN-11214,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11215,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11216,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11217,MISSING,MISSING,AVAILABLE,PENDING
LN-11218,MISSING,AVAILABLE,MISSING,MISSING
LN-11219,MISSING,MISSING,MISSING,MISSING
LN-11220,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11221,MISSING,MISSING,MISSING,MISSING
LN-11222,MISSING,AVAILABLE,MISSING,PENDING
LN-11223,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11224,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11225,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11226,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11227,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11228,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11229,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11230,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11231,MISSING,MISSING,MISSING,AVAILABLE
LN-11232,MISSING,MISSING,AVAILABLE,MISSING
LN-11233,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11234,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11235,MISSING,MISSING,AVAILABLE,PENDING
LN-11236,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11237,MISSING,MISSING,AVAILABLE,MISSING
LN-11238,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11239,MISSING,MISSING,AVAILABLE,MISSING
LN-11240,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11241,MISSING,MISSING,AVAILABLE,PENDING
LN-11242,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11243,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11244,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11245,AVAILABLE,MISSING,MISSING,PENDING
LN-11246,MISSING,MISSING,AVAILABLE,PENDING
LN-11247,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11248,MISSING,AVAILABLE,MISSING,PENDING
LN-11249,MISSING,AVAILABLE,MISSING,PENDING
LN-11250,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11251,MISSING,MISSING,AVAILABLE,MISSING
LN-11252,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11253,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11254,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11255,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11256,MISSING,MISSING,AVAILABLE,PENDING
LN-11257,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11258,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11259,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11260,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11261,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11262,MISSING,MISSING,AVAILABLE,MISSING
LN-11263,MISSING,AVAILABLE,MISSING,PENDING
LN-11264,MISSING,MISSING,AVAILABLE,MISSING
LN-11265,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11266,MISSING,AVAILABLE,MISSING,PENDING
LN-11267,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11268,MISSING,MISSING,MISSING,MISSING
LN-11269,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11270,MISSING,MISSING,AVAILABLE,PENDING
LN-11271,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11272,MISSING,MISSING,MISSING,AVAILABLE
LN-11273,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11274,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11275,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11276,MISSING,MISSING,MISSING,PENDING
LN-11277,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11278,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11279,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11280,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11281,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11282,MISSING,MISSING,AVAILABLE,MISSING
LN-11283,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11284,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11285,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11286,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11287,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11288,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11289,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11290,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11291,MISSING,MISSING,MISSING,MISSING
LN-11292,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11293,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11294,MISSING,AVAILABLE,MISSING,PENDING
LN-11295,MISSING,MISSING,AVAILABLE,MISSING
LN-11296,MISSING,MISSING,AVAILABLE,MISSING
LN-11297,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11298,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11299,AVAILABLE,MISSING,MISSING,PENDING
LN-11300,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11301,MISSING,AVAILABLE,MISSING,PENDING
LN-11302,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11303,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11304,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11305,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11306,AVAILABLE,MISSING,MISSING,PENDING
LN-11307,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11308,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11309,MISSING,MISSING,AVAILABLE,PENDING
LN-11310,MISSING,MISSING,MISSING,AVAILABLE
LN-11311,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11312,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11313,MISSING,MISSING,MISSING,AVAILABLE
LN-11314,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11315,AVAILABLE,MISSING,MISSING,MISSING
LN-11316,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11317,MISSING,AVAILABLE,MISSING,MISSING
LN-11318,MISSING,MISSING,MISSING,AVAILABLE
LN-11319,MISSING,MISSING,AVAILABLE,PENDING
LN-11320,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11321,MISSING,MISSING,AVAILABLE,PENDING
LN-11322,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11323,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11324,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11325,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11326,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11327,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11328,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11329,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11330,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11331,MISSING,MISSING,AVAILABLE,PENDING
LN-11332,MISSING,AVAILABLE,MISSING,MISSING
LN-11333,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11334,MISSING,AVAILABLE,MISSING,MISSING
LN-11335,AVAILABLE,MISSING,MISSING,MISSING
LN-11336,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11337,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11338,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11339,MISSING,AVAILABLE,MISSING,PENDING
LN-11340,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11341,MISSING,MISSING,MISSING,MISSING
LN-11342,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11343,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11344,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11345,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11346,MISSING,AVAILABLE,MISSING,MISSING
LN-11347,MISSING,MISSING,MISSING,PENDING
LN-11348,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11349,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11350,MISSING,MISSING,AVAILABLE,MISSING
LN-11351,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11352,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11353,AVAILABLE,MISSING,MISSING,PENDING
LN-11354,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11355,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11356,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11357,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11358,MISSING,AVAILABLE,MISSING,PENDING
LN-11359,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11360,MISSING,MISSING,MISSING,AVAILABLE
LN-11361,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11362,MISSING,MISSING,MISSING,AVAILABLE
LN-11363,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11364,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11365,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11366,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11367,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11368,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11369,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11370,AVAILABLE,MISSING,MISSING,MISSING
LN-11371,MISSING,AVAILABLE,MISSING,PENDING
LN-11372,AVAILABLE,MISSING,MISSING,PENDING
LN-11373,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11374,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11375,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11376,MISSING,MISSING,AVAILABLE,MISSING
LN-11377,MISSING,AVAILABLE,MISSING,MISSING
LN-11378,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11379,AVAILABLE,MISSING,MISSING,PENDING
LN-11380,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11381,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11382,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11383,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11384,AVAILABLE,MISSING,MISSING,MISSING
LN-11385,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11386,MISSING,MISSING,AVAILABLE,PENDING
LN-11387,MISSING,MISSING,MISSING,AVAILABLE
LN-11388,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11389,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11390,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11391,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11392,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11393,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11394,AVAILABLE,MISSING,MISSING,MISSING
LN-11395,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11396,MISSING,MISSING,AVAILABLE,PENDING
LN-11397,MISSING,MISSING,AVAILABLE,PENDING
LN-11398,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11399,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11400,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11401,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11402,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11403,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11404,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11405,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11406,MISSING,AVAILABLE,MISSING,MISSING
LN-11407,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11408,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11409,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11410,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11411,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11412,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11413,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11414,MISSING,MISSING,MISSING,AVAILABLE
LN-11415,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11416,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11417,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11418,MISSING,AVAILABLE,MISSING,MISSING
LN-11419,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11420,MISSING,MISSING,MISSING,MISSING
LN-11421,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11422,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11423,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11424,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11425,MISSING,MISSING,AVAILABLE,MISSING
LN-11426,AVAILABLE,MISSING,MISSING,MISSING
LN-11427,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11428,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11429,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11430,MISSING,MISSING,AVAILABLE,PENDING
LN-11431,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11432,MISSING,MISSING,AVAILABLE,PENDING
LN-11433,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11434,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11435,MISSING,AVAILABLE,MISSING,MISSING
LN-11436,AVAILABLE,MISSING,MISSING,PENDING
LN-11437,AVAILABLE,MISSING,MISSING,PENDING
LN-11438,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11439,MISSING,MISSING,AVAILABLE,MISSING
LN-11440,MISSING,MISSING,AVAILABLE,MISSING
LN-11441,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11442,AVAILABLE,MISSING,MISSING,MISSING
LN-11443,MISSING,AVAILABLE,MISSING,PENDING
LN-11444,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11445,MISSING,AVAILABLE,MISSING,MISSING
LN-11446,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11447,MISSING,MISSING,MISSING,PENDING
LN-11448,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11449,MISSING,AVAILABLE,MISSING,PENDING
LN-11450,MISSING,MISSING,AVAILABLE,PENDING
LN-11451,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11452,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11453,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11454,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11455,MISSING,AVAILABLE,MISSING,MISSING
LN-11456,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11457,MISSING,AVAILABLE,MISSING,PENDING
LN-11458,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11459,MISSING,MISSING,AVAILABLE,PENDING
LN-11460,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11461,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11462,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11463,MISSING,AVAILABLE,MISSING,MISSING
LN-11464,AVAILABLE,MISSING,MISSING,MISSING
LN-11465,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11466,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11467,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11468,MISSING,MISSING,MISSING,AVAILABLE
LN-11469,MISSING,MISSING,MISSING,AVAILABLE
LN-11470,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11471,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11472,AVAILABLE,MISSING,MISSING,MISSING
LN-11473,MISSING,MISSING,MISSING,MISSING
LN-11474,MISSING,MISSING,MISSING,MISSING
LN-11475,AVAILABLE,MISSING,MISSING,PENDING
LN-11476,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11477,MISSING,MISSING,MISSING,MISSING
LN-11478,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11479,MISSING,AVAILABLE,MISSING,PENDING
LN-11480,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11481,MISSING,MISSING,AVAILABLE,PENDING
LN-11482,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11483,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11484,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11485,MISSING,MISSING,MISSING,MISSING
LN-11486,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11487,MISSING,MISSING,MISSING,PENDING
LN-11488,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11489,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11490,AVAILABLE,MISSING,MISSING,PENDING
LN-11491,MISSING,MISSING,MISSING,PENDING
LN-11492,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11493,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11494,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11495,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11496,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11497,MISSING,MISSING,MISSING,PENDING
LN-11498,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11499,MISSING,MISSING,MISSING,AVAILABLE
LN-11500,AVAILABLE,MISSING,MISSING,MISSING
LN-11501,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11502,MISSING,MISSING,AVAILABLE,PENDING
LN-11503,MISSING,MISSING,MISSING,PENDING
LN-11504,MISSING,MISSING,MISSING,MISSING
LN-11505,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11506,MISSING,MISSING,MISSING,MISSING
LN-11507,MISSING,AVAILABLE,MISSING,MISSING
LN-11508,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11509,MISSING,MISSING,MISSING,MISSING
LN-11510,AVAILABLE,MISSING,AVAILABLE,PENDING
LN-11511,AVAILABLE,MISSING,MISSING,AVAILABLE
LN-11512,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11513,MISSING,AVAILABLE,MISSING,PENDING
LN-11514,MISSING,MISSING,MISSING,PENDING
LN-11515,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11516,MISSING,AVAILABLE,MISSING,AVAILABLE
LN-11517,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11518,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11519,MISSING,MISSING,MISSING,MISSING
LN-11520,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11521,MISSING,AVAILABLE,MISSING,PENDING
LN-11522,MISSING,MISSING,AVAILABLE,MISSING
LN-11523,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11524,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11525,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
LN-11526,MISSING,MISSING,MISSING,MISSING
LN-11527,AVAILABLE,AVAILABLE,AVAILABLE,MISSING
LN-11528,MISSING,AVAILABLE,AVAILABLE,PENDING
LN-11529,AVAILABLE,AVAILABLE,AVAILABLE,PENDING
LN-11530,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11531,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11532,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11533,MISSING,AVAILABLE,MISSING,MISSING
LN-11534,MISSING,AVAILABLE,MISSING,PENDING
LN-11535,AVAILABLE,MISSING,MISSING,PENDING
LN-11536,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11537,AVAILABLE,AVAILABLE,MISSING,MISSING
LN-11538,MISSING,AVAILABLE,MISSING,MISSING
LN-11539,MISSING,MISSING,AVAILABLE,PENDING
LN-11540,MISSING,AVAILABLE,AVAILABLE,AVAILABLE
LN-11541,AVAILABLE,AVAILABLE,MISSING,PENDING
LN-11542,AVAILABLE,MISSING,AVAILABLE,AVAILABLE
LN-11543,AVAILABLE,MISSING,AVAILABLE,MISSING
LN-11544,AVAILABLE,AVAILABLE,MISSING,AVAILABLE
LN-11545,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11546,MISSING,MISSING,AVAILABLE,AVAILABLE
LN-11547,MISSING,AVAILABLE,AVAILABLE,MISSING
LN-11548,MISSING,MISSING,AVAILABLE,AVAILABLE
